Provincia;Proporción
Albacete;19.92
Alicante;20.71
Almería;15.59
Álava;22.17
Asturias;27.55
Ávila;26.54
Badajoz;20.47
Baleares;16.5
Barcelona;19.38
Vizcaya;23.94
Burgos;24.97
Cáceres;24.19
Cádiz;18.08
Cantabria;23.48
Castellón;19.9
Ciudad Real;20.92
Córdoba;20.51
A Coruña;25.74
Cuenca;23.02
Guipúzcoa;23.34
Girona;18.65
Granada;18.97
Guadalajara;16.49
Huelva;17.63
Huesca;22.74
Jaén;20.4
León;28.47
Lleida;19.71
Lugo;30
Madrid;18.43
Málaga;18.35
Murcia;16.35
Navarra;20.45
Ourense;31.94
Palencia;27.19
Las Palmas;16.62
Pontevedra;23.89
La Rioja;21.78
Salamanca;27.48
Santa Cruz de Tenerife;18.38
Segovia;23.12
Sevilla;17.62
Soria;25.41
Tarragona;19.64
Teruel;24.16
Toledo;18.23
Valencia;19.66
Valladolid;24.38
Zamora;31.92
Zaragoza;21.73
